ID,Sex,Twin,BirthYear,Survival,Lifespan,MotherID,FatherID,MumAge,DadAge,MumAgeClass,DadAgeClass,MumLifespan,DadLifespan
1674,Male,1,2003,0,0,464,228,3,7,AdultMum,AdultDad,7,9
1675,Female,1,2003,1,8,464,287,3,3,AdultMum,AdultDad,7,5
1676,Female,0,2003,1,8,209,368,12,3,AdultMum,AdultDad,14,7
1677,Male,1,2003,1,1,418,281,5,3,AdultMum,AdultDad,9,5
1678,Female,1,2003,1,1,418,228,5,7,AdultMum,AdultDad,9,9
1679,Male,0,2003,0,0,401,422,6,2,AdultMum,AdultDad,9,4
1680,Female,0,2003,1,8,542,333,0,2,LambMum,AdultDad,9,7
1681,Male,1,2003,1,1,428,464,5,0,AdultMum,LambDad,9,1
1682,Male,1,2003,0,0,428,382,5,0,AdultMum,LambDad,9,2
1683,Female,0,2003,1,1,524,287,2,3,AdultMum,AdultDad,9,5
1684,Female,0,2003,0,0,531,423,1,3,AdultMum,AdultDad,10,3
1685,Female,0,2003,0,0,564,308,0,3,LambMum,AdultDad,9,5
1686,Female,0,2003,0,0,310,353,9,5,AdultMum,AdultDad,11,7
1687,Female,0,2003,1,6,429,310,5,3,AdultMum,AdultDad,6,5
1688,Female,0,2003,1,7,275,374,10,0,AdultMum,LambDad,11,1
1689,Male,0,2003,1,5,319,402,8,0,AdultMum,LambDad,12,4
1690,Female,0,2003,0,0,331,392,7,0,AdultMum,LambDad,8,5
1691,Male,1,2003,1,3,283,494,9,2,AdultMum,AdultDad,11,6
1692,Female,1,2003,1,11,283,494,9,2,AdultMum,AdultDad,11,6
1693,Female,0,2003,1,1,477,419,3,3,AdultMum,AdultDad,6,5
1694,Female,0,2003,1,1,489,234,4,7,AdultMum,AdultDad,6,9
1695,Male,0,2003,1,3,420,236,5,7,AdultMum,AdultDad,9,8
1696,Male,0,2003,1,1,570,422,0,2,LambMum,AdultDad,4,4
1697,Female,0,2003,1,1,551,412,0,1,LambMum,AdultDad,9,5
1698,Female,0,2003,1,6,520,287,2,3,AdultMum,AdultDad,8,5
1699,Male,0,2003,1,6,529,294,1,3,AdultMum,AdultDad,7,7
1700,Male,0,2003,1,1,340,419,7,3,AdultMum,AdultDad,9,5
1701,Female,0,2003,0,0,557,362,0,2,LambMum,AdultDad,9,6
1702,Male,0,2003,1,2,506,419,2,3,AdultMum,AdultDad,9,5
1703,Female,0,2003,1,1,417,334,5,2,AdultMum,AdultDad,11,4
1704,Male,0,2003,1,6,485,287,3,3,AdultMum,AdultDad,12,5
1705,Female,0,2003,1,8,491,333,2,2,AdultMum,AdultDad,9,7
1706,Female,0,2003,0,0,402,285,6,3,AdultMum,AdultDad,8,5
1707,Male,0,2003,1,7,379,297,7,3,AdultMum,AdultDad,9,7
1708,Male,0,2003,0,0,540,396,0,0,LambMum,LambDad,2,0
1709,Male,0,2003,0,0,567,278,0,6,LambMum,AdultDad,9,8
1710,Female,0,2003,0,0,544,413,0,1,LambMum,AdultDad,2,3
1711,Female,1,2003,0,0,398,495,6,3,AdultMum,AdultDad,10,5
1712,Male,0,2003,0,0,541,415,0,1,LambMum,AdultDad,5,3
1713,Female,0,2003,0,0,409,359,6,6,AdultMum,AdultDad,6,6
1714,Male,1,2003,0,0,395,312,6,3,AdultMum,AdultDad,8,5
1715,Male,0,2003,0,0,574,471,0,0,LambMum,LambDad,9,7
1716,Female,0,2003,0,0,365,419,7,3,AdultMum,AdultDad,13,5
